id;laundry_machine_id;name;subprogram;time;spin;pre_wash;protect
498;2;Intensiv waschen;40°;68;0;false;null
499;2;Intensiv waschen;40°;100;1400;true;null
500;2;Intensiv waschen;40°;100;1300;true;null
501;2;Intensiv waschen;40°;100;1200;true;null
502;2;Intensiv waschen;40°;100;1100;true;null
503;2;Intensiv waschen;40°;100;1000;true;null
504;2;Intensiv waschen;40°;100;900;true;null
505;2;Intensiv waschen;40°;100;800;true;null
506;2;Intensiv waschen;40°;100;700;true;null
507;2;Intensiv waschen;40°;100;600;true;null
508;2;Intensiv waschen;40°;100;500;true;null
509;2;Intensiv waschen;40°;100;400;true;null
510;2;Intensiv waschen;40°;78;0;true;null
511;2;Feinwäsche;40°;33;600;false;null
512;2;Feinwäsche;40°;33;500;false;null
513;2;Feinwäsche;40°;33;400;false;null
514;2;Feinwäsche;40°;31;0;false;null
515;2;Feinwäsche;40°;39;600;true;null
516;2;Feinwäsche;40°;39;500;true;null
517;2;Feinwäsche;40°;39;400;true;null
518;2;Feinwäsche;40°;38;0;true;null
519;2;Feinwäsche;30°;33;600;false;null
520;2;Feinwäsche;30°;33;500;false;null
521;2;Feinwäsche;30°;33;400;false;null
522;2;Feinwäsche;30°;31;0;false;null
523;2;Feinwäsche;30°;39;600;true;null
524;2;Feinwäsche;30°;39;500;true;null
525;2;Feinwäsche;30°;39;400;true;null
526;2;Feinwäsche;30°;38;0;true;null
527;2;Feinwäsche;20°;33;600;false;null
528;2;Feinwäsche;20°;33;500;false;null
529;2;Feinwäsche;20°;33;400;false;null
530;2;Feinwäsche;20°;31;0;false;null
531;2;Feinwäsche;20°;39;600;true;null
532;2;Feinwäsche;20°;39;500;true;null
533;2;Feinwäsche;20°;39;400;true;null
534;2;Feinwäsche;20°;38;0;true;null
535;2;Pumpen/Schleudern;null;8;1400;null;null
